lat,lon,count,time
30.0,120.2,3,2019-12-16 15:13:41
31.45,120.95,4,2019-12-16 15:13:41
31.55,121.0,6,2019-12-16 15:13:41
26.05,119.35,42,2019-12-16 15:13:41
30.25,120.45,64,2019-12-16 15:13:41
30.25,120.5,8,2019-12-16 15:13:41
31.5,120.6,3,2019-12-16 15:13:41
26.8,119.8,2,2019-12-16 15:13:41
30.65,117.8,2,2019-12-16 15:13:41
28.6,120.2,2,2019-12-16 15:13:41
29.0,118.95,1,2019-12-16 15:13:41
26.3,118.3,2,2019-12-16 15:13:41
30.9,118.95,2,2019-12-16 15:13:41
28.4,121.05,2,2019-12-16 15:13:41
30.5,120.2,3,2019-12-16 15:13:41
27.05,117.9,2,2019-12-16 15:13:41
31.35,121.4,47,2019-12-16 15:13:41
30.1,121.4,3,2019-12-16 15:13:41
28.15,120.7,1,2019-12-16 15:13:41
31.9,121.8,3,2019-12-16 15:13:41
28.8,119.95,2,2019-12-16 15:13:41
30.0,121.65,1,2019-12-16 15:13:41
28.85,118.95,4,2019-12-16 15:13:41
30.95,120.45,1,2019-12-16 15:13:41
31.75,118.2,2,2019-12-16 15:13:41
30.3,120.3,185,2019-12-16 15:13:41
30.85,118.45,1,2019-12-16 15:13:41
26.05,117.75,2,2019-12-16 15:13:41
29.9,120.95,1,2019-12-16 15:13:41
29.75,121.75,1,2019-12-16 15:13:41
31.75,118.85,9,2019-12-16 15:13:41
26.95,120.15,4,2019-12-16 15:13:41
31.65,119.9,8,2019-12-16 15:13:41
30.65,119.55,2,2019-12-16 15:13:41
31.9,119.9,3,2019-12-16 15:13:41
30.75,121.3,2,2019-12-16 15:13:41
30.1,120.25,10,2019-12-16 15:13:41
30.65,120.75,1,2019-12-16 15:13:41
28.7,121.4,8,2019-12-16 15:13:41
30.95,117.2,9,2019-12-16 15:13:41
31.15,120.7,1,2019-12-16 15:13:41
28.9,118.6,3,2019-12-16 15:13:41
27.65,120.35,6,2019-12-16 15:13:41
29.05,121.15,3,2019-12-16 15:13:41
29.3,120.5,2,2019-12-16 15:13:41
31.1,119.7,1,2019-12-16 15:13:41
29.3,120.45,1,2019-12-16 15:13:41
31.1,119.65,3,2019-12-16 15:13:41
28.05,120.6,3,2019-12-16 15:13:41
27.85,120.5,2,2019-12-16 15:13:41
31.95,118.85,9,2019-12-16 15:13:41
31.6,117.9,5,2019-12-16 15:13:41
27.85,120.45,3,2019-12-16 15:13:41
28.8,118.7,2,2019-12-16 15:13:41
31.1,120.8,2,2019-12-16 15:13:41
30.55,117.75,1,2019-12-16 15:13:41
31.8,120.05,3,2019-12-16 15:13:41
31.8,120.1,2,2019-12-16 15:13:41
30.45,120.8,6,2019-12-16 15:13:41
30.95,118.95,1,2019-12-16 15:13:41
30.35,120.05,2,2019-12-16 15:13:41
30.1,120.25,13,2019-12-16 15:13:41
31.35,119.75,3,2019-12-16 15:13:41
30.1,120.3,1,2019-12-16 15:13:41
29.85,121.35,7,2019-12-16 15:13:41
30.25,117.3,2,2019-12-16 15:13:41
30.15,121.0,8,2019-12-16 15:13:41
31.95,118.55,5,2019-12-16 15:13:41
27.75,120.4,1,2019-12-16 15:13:41
26.65,117.7,1,2019-12-16 15:13:41
31.8,119.85,5,2019-12-16 15:13:41
30.15,120.55,3,2019-12-16 15:13:41
31.8,119.9,19,2019-12-16 15:13:41
31.95,119.35,3,2019-12-16 15:13:41
28.25,117.85,8,2019-12-16 15:13:41
29.95,121.75,2,2019-12-16 15:13:41
27.3,120.3,9,2019-12-16 15:13:41
29.7,120.2,37,2019-12-16 15:13:41
29.7,120.15,34,2019-12-16 15:13:41
27.5,120.5,5,2019-12-16 15:13:41
30.8,120.1,1,2019-12-16 15:13:41
30.1,120.25,1,2019-12-16 15:13:41
31.35,118.85,3,2019-12-16 15:13:41
31.9,117.5,2,2019-12-16 15:13:41
28.75,121.4,10,2019-12-16 15:13:41
30.0,120.25,3,2019-12-16 15:13:41
30.75,120.7,47,2019-12-16 15:13:41
30.2,119.35,7,2019-12-16 15:13:41
30.35,120.1,12,2019-12-16 15:13:41
30.35,120.05,16,2019-12-16 15:13:41
29.1,119.15,4,2019-12-16 15:13:41
29.45,119.95,6,2019-12-16 15:13:41
31.7,119.9,40,2019-12-16 15:13:41
31.6,120.95,2,2019-12-16 15:13:41
30.5,117.7,3,2019-12-16 15:13:41
31.7,117.25,57,2019-12-16 15:13:41
31.9,119.15,2,2019-12-16 15:13:41
31.2,119.1,1,2019-12-16 15:13:41
30.7,117.2,12,2019-12-16 15:13:41
31.15,119.3,2,2019-12-16 15:13:41
31.6,119.3,1,2019-12-16 15:13:41
31.95,118.8,28,2019-12-16 15:13:41
31.85,120.25,19,2019-12-16 15:13:41
31.85,120.3,22,2019-12-16 15:13:41
28.1,120.85,2,2019-12-16 15:13:41
28.3,117.15,1,2019-12-16 15:13:41
29.1,118.95,2,2019-12-16 15:13:41
30.0,120.45,7,2019-12-16 15:13:41
26.05,119.25,54,2019-12-16 15:13:41
